Config  88 | WITHOUT OT (PLAIN)   |    26.39 sec | ✅
Config  88 | WITH OT              |    28.13 sec | ✅
Config  89 | WITHOUT OT (PLAIN)   |    39.45 sec | ✅
Config  89 | WITH OT              |    27.64 sec | ✅
Config  90 | WITHOUT OT (PLAIN)   |    42.76 sec | ✅
Config  90 | WITH OT              |    27.16 sec | ✅
Config  91 | WITHOUT OT (PLAIN)   |    31.63 sec | ✅
Config  91 | WITH OT              |    34.69 sec | ✅
Config  92 | WITHOUT OT (PLAIN)   |    40.71 sec | ✅
Config  92 | WITH OT              |    40.52 sec | ✅
Config  93 | WITHOUT OT (PLAIN)   |    27.29 sec | ✅
Config  93 | WITH OT              |    31.19 sec | ✅
Config  94 | WITHOUT OT (PLAIN)   |    19.01 sec | ✅
Config  94 | WITH OT              |    29.72 sec | ✅
Config  95 | WITHOUT OT (PLAIN)   |    18.89 sec | ✅
Config  95 | WITH OT              |    19.66 sec | ✅
Config  96 | WITHOUT OT (PLAIN)   |    28.25 sec | ✅
Config  96 | WITH OT              |    47.52 sec | ✅
Config  97 | WITHOUT OT (PLAIN)   |    79.79 sec | ✅
Config  97 | WITH OT              |    62.90 sec | ✅
Config  98 | WITHOUT OT (PLAIN)   |    68.53 sec | ✅
Config  98 | WITH OT              |    86.18 sec | ✅
Config  99 | WITHOUT OT (PLAIN)   |    81.50 sec | ✅
Config  99 | WITH OT              |    86.62 sec | ✅
Config 100 | WITHOUT OT (PLAIN)   |    65.95 sec | ✅
Config 100 | WITH OT              |    69.57 sec | ✅
Config 101 | WITHOUT OT (PLAIN)   |    64.85 sec | ✅
Config 101 | WITH OT              |    89.26 sec | ✅
Config 102 | WITHOUT OT (PLAIN)   |    81.52 sec | ✅
Config 102 | WITH OT              |    64.32 sec | ✅
Config 103 | WITHOUT OT (PLAIN)   |    81.64 sec | ✅
Config 103 | WITH OT              |    82.19 sec | ✅
Config 104 | WITHOUT OT (PLAIN)   |    70.88 sec | ✅
Config 104 | WITH OT              |    85.70 sec | ✅
Config 105 | WITHOUT OT (PLAIN)   |    64.95 sec | ✅
Config 105 | WITH OT              |    83.85 sec | ✅
Config 106 | WITHOUT OT (PLAIN)   |    88.57 sec | ✅
Config 106 | WITH OT              |    75.24 sec | ✅
Config 107 | WITHOUT OT (PLAIN)   |    73.37 sec | ✅
Config 107 | WITH OT              |    75.45 sec | ✅
Config 108 | WITHOUT OT (PLAIN)   |    67.45 sec | ✅
Config 108 | WITH OT              |    90.64 sec | ✅
Config 109 | WITHOUT OT (PLAIN)   |    69.34 sec | ✅
Config 109 | WITH OT              |    86.89 sec | ✅
Config 110 | WITHOUT OT (PLAIN)   |    67.00 sec | ✅
Config 110 | WITH OT              |    82.08 sec | ✅
Config 111 | WITHOUT OT (PLAIN)   |    86.15 sec | ✅
Config 111 | WITH OT              |    98.24 sec | ✅
Config 112 | WITHOUT OT (PLAIN)   |    85.08 sec | ✅
Config 112 | WITH OT              |    97.07 sec | ✅
Config 113 | WITHOUT OT (PLAIN)   |    89.75 sec | ✅
Config 113 | WITH OT              |    86.14 sec | ✅
Config 114 | WITHOUT OT (PLAIN)   |    65.38 sec | ✅
Config 114 | WITH OT              |    84.97 sec | ✅
Config 115 | WITHOUT OT (PLAIN)   |   115.57 sec | ✅
Config 115 | WITH OT              |    83.44 sec | ✅
Config 116 | WITHOUT OT (PLAIN)   |    85.49 sec | ✅
Config 116 | WITH OT              |   104.09 sec | ✅
Config 117 | WITHOUT OT (PLAIN)   |   114.60 sec | ✅
Config 117 | WITH OT              |    89.03 sec | ✅
Config 118 | WITHOUT OT (PLAIN)   |    68.36 sec | ✅
Config 118 | WITH OT              |    73.07 sec | ✅
Config 119 | WITHOUT OT (PLAIN)   |    88.99 sec | ✅
Config 119 | WITH OT              |    64.92 sec | ✅
Config 120 | WITHOUT OT (PLAIN)   |    86.18 sec | ✅
Config 120 | WITH OT              |    99.16 sec | ✅
Config 121 | WITHOUT OT (PLAIN)   |    51.71 sec | ✅
Config 121 | WITH OT              |    46.08 sec | ✅
Config 122 | WITHOUT OT (PLAIN)   |    45.58 sec | ✅
Config 122 | WITH OT              |    48.53 sec | ✅
Config 123 | WITHOUT OT (PLAIN)   |    48.00 sec | ✅
Config 123 | WITH OT              |    54.54 sec | ✅
Config 124 | WITHOUT OT (PLAIN)   |    51.52 sec | ✅
Config 124 | WITH OT              |    52.38 sec | ✅
Config 125 | WITHOUT OT (PLAIN)   |    51.11 sec | ✅
Config 125 | WITH OT              |    52.70 sec | ✅
Config 126 | WITHOUT OT (PLAIN)   |    50.42 sec | ✅
Config 126 | WITH OT              |    51.76 sec | ✅
Config 127 | WITHOUT OT (PLAIN)   |    58.15 sec | ✅
Config 127 | WITH OT              |    55.01 sec | ✅
Config 128 | WITHOUT OT (PLAIN)   |    51.75 sec | ✅
Config 128 | WITH OT              |    53.84 sec | ✅
Config 129 | WITHOUT OT (PLAIN)   |    47.78 sec | ✅
Config 129 | WITH OT              |    48.38 sec | ✅
Config 130 | WITHOUT OT (PLAIN)   |    65.23 sec | ✅
Config 130 | WITH OT              |    49.24 sec | ✅
Config 131 | WITHOUT OT (PLAIN)   |    45.72 sec | ✅
Config 131 | WITH OT              |    48.48 sec | ✅
Config 132 | WITHOUT OT (PLAIN)   |    46.11 sec | ✅
Config 132 | WITH OT              |    47.46 sec | ✅
Config 133 | WITHOUT OT (PLAIN)   |    41.88 sec | ✅
Config 133 | WITH OT              |    48.38 sec | ✅
Config 134 | WITHOUT OT (PLAIN)   |    48.66 sec | ✅
Config 134 | WITH OT              |    47.79 sec | ✅
Config 135 | WITHOUT OT (PLAIN)   |    47.07 sec | ✅
Config 135 | WITH OT              |    46.89 sec | ✅
Config 136 | WITHOUT OT (PLAIN)   |    50.68 sec | ✅
Config 136 | WITH OT              |    53.08 sec | ✅
Config 137 | WITHOUT OT (PLAIN)   |    53.79 sec | ✅
Config 137 | WITH OT              |    49.60 sec | ✅
Config 138 | WITHOUT OT (PLAIN)   |    45.75 sec | ✅
Config 138 | WITH OT              |    50.52 sec | ✅
